ci,absmag,log_lum,dist
0.56406015,4.6634007,0.06679152,100.21867
0.56347126,4.6288424,0.08063136,101.93608
0.5628634,4.5944138,0.094518885,103.66232
0.5622483,4.559988,0.10842274,105.395706
0.56163317,4.5255623,0.12232648,107.129166
0.5610165,4.4911337,0.13623129,108.86374
0.56041545,4.4570646,0.15004484,110.64989
0.5599062,4.4278893,0.16184388,112.26337
0.5596287,4.400998,0.17265151,113.864075
0.5593714,4.374315,0.18336509,115.4653
0.55927813,4.348271,0.1937844,117.01805
0.5591826,4.3222375,0.20420192,118.570816
0.5591039,4.2963367,0.21457575,120.134445
0.55914897,4.271345,0.22460948,121.69235
0.5598184,4.2516165,0.23253159,122.80032
0.56051433,4.232127,0.24035715,123.883644
0.5612102,4.2126374,0.24818276,124.967026
0.56181777,4.192511,0.25629613,126.067406
0.56223977,4.171925,0.26470032,127.163185
0.5622674,4.149788,0.27383104,128.22414
0.562362,4.1315737,0.28123942,128.85591
0.5627828,4.120093,0.2858965,128.97063
0.5632037,4.1086116,0.2905536,129.0853
0.5636212,4.0971127,0.29521784,129.20111
0.5641787,4.088463,0.29877904,129.32623
0.56476945,4.08081,0.30196503,129.43323
0.5652445,4.0731697,0.3051907,129.4789
0.56600136,4.0685787,0.3072265,129.37769
0.567201,4.0657573,0.30885223,129.29823
0.5684119,4.063408,0.31012776,129.21326
0.56947297,4.0606847,0.31156752,129.04843
0.5703258,4.055639,0.3140615,128.99188
0.57059777,4.0457067,0.31859222,129.1145
0.5701802,4.0325775,0.3244383,129.37363
0.5696462,4.0186715,0.3305507,129.5407
0.5687892,4.0028305,0.33728495,129.46191
0.5679491,3.9872844,0.34388646,129.3509
0.56702036,3.9738142,0.3497046,129.08904
0.5663582,3.9615848,0.35501352,128.81145
0.56630737,3.9522355,0.35912916,128.49794
0.5666428,3.9448571,0.36233988,128.12914
0.56734324,3.9394827,0.36478832,127.67855
0.5681076,3.9345562,0.3670635,127.21467
0.56887925,3.9301753,0.36909094,126.71791
0.56966776,3.926735,0.37059972,126.12438
0.5704084,3.9228218,0.37242106,125.527794
0.570916,3.9182699,0.37448058,125.00038
0.570729,3.9116814,0.3773146,124.4796
0.5703195,3.9046805,0.38031873,123.93401
0.56990993,3.8976796,0.3833228,123.38846
0.5695871,3.8920588,0.3857372,122.709145
0.569229,3.8859828,0.38822666,122.01047
0.5685015,3.8790092,0.3909355,121.54498
0.5680861,3.873757,0.39302215,121.03658
0.5677469,3.868909,0.39496592,120.51784
0.56757593,3.8651235,0.39650992,120.006546
0.56755775,3.8623028,0.39769086,119.50194
0.56733763,3.859472,0.39894328,118.94795
0.5668468,3.857017,0.40013024,118.34622
0.56632,3.8545234,0.40134677,117.757065
0.5657348,3.8510778,0.40292707,117.19702
0.56514657,3.8472972,0.40462884,116.67418
0.5643722,3.8432615,0.4063479,116.081696
0.5634932,3.8396304,0.40798172,115.53204
0.56325436,3.839239,0.4081783,115.13179
0.56310636,3.84057,0.40754804,114.8557
0.5629504,3.843874,0.40592274,114.584656
0.56283367,3.8476965,0.40412793,114.33293
0.5630596,3.8541188,0.4013985,114.02376
0.5632238,3.8602626,0.3989024,113.695206
0.56287795,3.864704,0.3971034,113.370224
0.56215847,3.8678849,0.39582506,113.0244
0.5604288,3.867015,0.39618894,112.574814
0.55869097,3.8658988,0.39663485,112.11623
0.55695033,3.8647866,0.3970813,111.662964
0.5551824,3.863851,0.39750746,111.21896
0.55338246,3.863084,0.39792576,110.76886
0.5512744,3.8616796,0.3986499,110.30409
0.54894525,3.859758,0.39955422,109.845856
0.5465178,3.857438,0.40062377,109.34465
0.54385823,3.8536084,0.40231666,108.891235
0.5411785,3.8489234,0.4044203,108.49951
0.53851575,3.8443017,0.40651533,108.10632
0.535853,3.8396807,0.4086105,107.71309
0.53319025,3.8350592,0.41070572,107.31984
0.5305312,3.830541,0.4127659,106.92522
0.5278191,3.8266873,0.41462067,106.55791
0.52507055,3.8230436,0.41639808,106.196884
0.5223279,3.8194788,0.41812733,105.830215
0.5195594,3.8160784,0.4198042,105.45155
0.5169808,3.8129854,0.4212254,104.9259
0.5145095,3.810114,0.42261216,104.347305
0.5122798,3.8085172,0.42327967,103.78354
0.51018816,3.807266,0.42365184,103.26909
0.50805205,3.8050473,0.42447278,102.815094
0.5059314,3.802798,0.42530152,102.358475
0.50374746,3.7999537,0.42634365,101.896866
0.50152427,3.7970448,0.4274176,101.43877
0.499301,3.7941365,0.42849156,100.98064
0.49702105,3.7908924,0.42970255,100.5025
