ci,absmag,log_lum,dist
0.56406015,4.6634007,0.06679152,100.21867
0.56546164,4.643707,0.07481752,101.53586
0.5669391,4.624502,0.08269845,102.8707
0.56857127,4.606022,0.090283856,104.09114
0.57024455,4.587871,0.09776567,105.33821
0.5720741,4.570255,0.10510276,106.610825
0.5740069,4.554406,0.111663565,107.84123
0.57603055,4.5398073,0.11779402,109.02197
0.5779594,4.524499,0.12433396,110.07608
0.5797399,4.5079937,0.1314417,111.09
0.581623,4.491923,0.13830708,112.14957
0.5833442,4.4753823,0.14529346,113.18201
0.58563673,4.459576,0.1518632,114.36751
0.58883226,4.4457393,0.15815,115.89674
0.5920167,4.4323597,0.16435562,117.50447
0.59527814,4.4196,0.17041038,119.15398
0.59892315,4.4159694,0.17300235,120.376045
0.6021755,4.413776,0.17495869,121.20386
0.60614544,4.414409,0.17574827,121.97116
0.6111254,4.4153223,0.17599647,122.81366
0.61658794,4.41927,0.17494021,123.78923
0.62765485,4.4424205,0.16616486,124.32676
0.64342093,4.4771466,0.15186833,124.62636
0.65912294,4.5131316,0.13730894,124.93344
0.6748387,4.549299,0.12297808,125.08906
0.68857443,4.5792904,0.11089705,125.43921
0.70132077,4.6057463,0.10009311,126.0766
0.7138282,4.631577,0.089779004,126.750114
0.72630423,4.6576414,0.07942353,127.38764
0.7388725,4.68584,0.06813572,127.87595
0.7517248,4.7210927,0.05384038,127.91633
0.764907,4.7616477,0.037476283,127.65461
0.7790517,4.806962,0.019217594,127.24887
0.79218346,4.8487005,0.0024125404,126.91448
0.8106901,4.9132943,-0.02366783,126.08049
0.83343965,4.9963036,-0.057128567,124.87779
0.85645527,5.0810485,-0.091056004,123.7389
0.8784413,5.1622286,-0.12339391,122.70722
0.89998126,5.2415137,-0.1549715,121.70849
0.9178989,5.3036666,-0.17984141,121.245995
0.9333081,5.357166,-0.20127119,120.87317
0.9461111,5.4008384,-0.21877708,120.63773
0.95882845,5.444018,-0.23608936,120.41261
0.97143555,5.4868007,-0.25325122,120.160645
0.9840429,5.529585,-0.27041367,119.908646
0.9967494,5.571448,-0.28747275,119.68265
1.0087005,5.6119313,-0.30398098,119.42439
1.0185107,5.6472125,-0.31823638,119.2124
1.026695,5.677292,-0.33034518,119.04791
1.0340806,5.704591,-0.3413624,118.923065
1.0411986,5.730737,-0.3519242,118.80257
1.0501447,5.767432,-0.36668697,118.60672
1.0590091,5.8039336,-0.38135794,118.36224
1.0678301,5.8410482,-0.39619055,118.09126
1.076121,5.8791404,-0.41142538,117.616394
1.0843086,5.917308,-0.4267966,117.12369
1.0924611,5.9554563,-0.44222596,116.62814
1.100614,5.9936047,-0.45765546,116.13257
1.1087666,6.031752,-0.47308436,115.63701
1.1169193,6.0699,-0.4885142,115.14139
1.1249211,6.10839,-0.50407255,114.61528
1.1327771,6.147042,-0.5195707,114.06758
1.1406182,6.1856775,-0.5350274,113.51927
1.1484399,6.224377,-0.5505152,112.96312
1.15621,6.263249,-0.56608486,112.386475
1.1637473,6.3010917,-0.58124673,111.84662
1.1697024,6.331844,-0.59359133,111.53226
1.1759894,6.364204,-0.60659516,111.21661
1.1824988,6.3983116,-0.620291,110.87239
1.1890358,6.4343486,-0.63468325,110.49924
1.1955686,6.47043,-0.64909136,110.12225
1.2021017,6.506511,-0.6635001,109.7453
1.2091234,6.544455,-0.67870176,109.31874
1.2164524,6.5841527,-0.6946049,108.89717
1.2238731,6.6246266,-0.7107489,108.47777
1.2313095,6.6652803,-0.72698283,108.050674
1.2386987,6.7057457,-0.74314153,107.62816
1.2453989,6.743561,-0.75823,107.24855
1.2504785,6.774604,-0.7705463,106.996
1.2542288,6.7994976,-0.7803608,106.86226
1.2577041,6.8229523,-0.7895272,106.69174
1.2609375,6.845438,-0.7982172,106.50571
1.2642188,6.868115,-0.80698395,106.32808
1.2675115,6.8908362,-0.81577015,106.15251
1.2708039,6.913557,-0.8245548,105.97693
1.2740965,6.936278,-0.8333399,105.80141
1.2779292,6.9611278,-0.84297955,105.602936
1.2821404,6.986008,-0.85274017,105.363464
1.2863733,7.0110507,-0.86255467,105.10477
1.2905662,7.0365953,-0.87256944,104.78825
1.2945422,7.0610056,-0.8822187,104.52203
1.2983187,7.085009,-0.89175713,104.12245
1.3014826,7.1069636,-0.9004923,103.76523
1.3039188,7.1265,-0.9082743,103.45946
1.3063544,7.146034,-0.91605556,103.15378
1.3088729,7.1662526,-0.9240931,102.87839
1.3115344,7.187422,-0.93259156,102.60486
1.3135725,7.205969,-0.9401542,102.445496
1.3149242,7.2221804,-0.94688,102.29973
1.3157065,7.239003,-0.9538661,102.089554
