ci,absmag,log_lum,dist
1.5189017,6.725534,-0.8261244,100.97281
1.5216889,6.7633805,-0.84044135,101.0159
1.524442,6.800819,-0.8545822,101.03499
1.5267564,6.831271,-0.86581194,100.63464
1.529162,6.8621283,-0.8773471,100.218414
1.5311733,6.8876505,-0.88694394,99.69203
1.5331224,6.9125977,-0.8963398,99.09593
1.5342565,6.9369297,-0.90555036,98.57663
1.5354521,6.961613,-0.91489255,98.05612
1.5376737,6.9904,-0.9258393,97.50285
1.540082,7.019906,-0.93706906,96.94339
1.5424907,7.0494127,-0.94829905,96.38394
1.5453254,7.081365,-0.96067655,95.7854
1.5482945,7.114088,-0.97341526,95.17461
1.5513805,7.1464,-0.98603785,94.59543
1.554336,7.174826,-0.9973246,94.14102
1.5571018,7.202128,-1.0081745,93.696106
1.5598032,7.230141,-1.0192188,93.23503
1.5623546,7.2572756,-1.0298835,92.73518
1.5646843,7.283824,-1.0402607,92.235245
1.5670741,7.3106213,-1.0505999,91.73779
1.5695018,7.3375263,-1.0607115,91.247696
1.5714134,7.3618197,-1.0697969,90.77727
1.5727615,7.3821297,-1.0772654,90.36977
1.5731174,7.3961926,-1.0822629,90.0271
1.5730414,7.407912,-1.0863544,89.70883
1.5730946,7.4205914,-1.0908176,89.37457
1.573673,7.436585,-1.0965775,88.999374
1.5745211,7.4541183,-1.1029428,88.6098
1.5753691,7.4716506,-1.1093086,88.22023
1.5762175,7.489187,-1.1156746,87.83063
1.5770655,7.50672,-1.1220399,87.441055
1.5775589,7.52157,-1.127185,87.14868
1.5777515,7.5354123,-1.1318952,86.88748
1.5777534,7.548646,-1.136346,86.64476
1.577755,7.5618777,-1.1407951,86.40201
1.5776705,7.573452,-1.1448556,86.1729
1.5772086,7.58148,-1.1477085,86.01042
1.5758103,7.583973,-1.1483554,85.95627
1.5745327,7.5872116,-1.1492933,85.90486
1.5734305,7.591895,-1.1507457,85.82428
1.5723983,7.596353,-1.1521238,85.73265
1.5718486,7.600226,-1.153258,85.54471
1.571393,7.6044774,-1.1544875,85.34967
1.5711313,7.6108994,-1.1564969,85.14853
1.5711255,7.6206098,-1.1596316,84.963135
1.5711286,7.6310353,-1.1634403,84.75519
1.5716516,7.645388,-1.1686224,84.54048
1.5722085,7.65994,-1.1740509,84.318405
1.5728271,7.67442,-1.1794955,84.09497
1.5733634,7.6881886,-1.1846856,83.878006
1.573683,7.7008014,-1.1894249,83.673584
1.5740025,7.713414,-1.1941642,83.46915
1.5743217,7.726026,-1.198903,83.26474
1.574627,7.7391,-1.2037612,83.056305
1.5749568,7.753206,-1.2089239,82.85857
1.5751058,7.766751,-1.213833,82.6985
1.5749259,7.778736,-1.218108,82.55298
1.5746852,7.7903204,-1.222217,82.41989
1.5737245,7.792399,-1.2224804,82.47368
1.570196,7.7761135,-1.2155048,82.73059
1.5644169,7.7476206,-1.2035316,83.0921
1.5586379,7.7191243,-1.1915578,83.4536
1.5534399,7.6934853,-1.1807283,83.793976
1.5494466,7.6741605,-1.1724538,84.074524
1.5454388,7.6548314,-1.1642205,84.34329
1.5412002,7.634091,-1.1554655,84.623825
1.5357386,7.6064453,-1.1440188,84.96724
1.5303864,7.579117,-1.1327409,85.303696
1.5252115,7.5522976,-1.1217338,85.62894
1.5200362,7.5254774,-1.110726,85.95416
1.5148611,7.4986596,-1.0997194,86.27939
1.5087501,7.467315,-1.0867144,86.70671
1.5023813,7.4345365,-1.0731484,87.12662
1.4960173,7.4017367,-1.0595931,87.53473
1.489643,7.3689623,-1.0460578,87.937225
1.4828876,7.335393,-1.0322791,88.33179
1.4759753,7.3015823,-1.0184451,88.72243
1.4690633,7.2677712,-1.0046121,89.1131
1.4621514,7.2339644,-0.9907793,89.50371
1.4549813,7.1983743,-0.9762467,89.91795
1.4474521,7.1611156,-0.96104944,90.35588
1.4400172,7.124495,-0.94612515,90.79736
1.4329424,7.0890617,-0.93188536,91.25038
1.425983,7.053566,-0.9176568,91.69823
1.4189373,7.0177484,-0.9032954,92.12875
1.4112085,6.977721,-0.8872968,92.5916
1.402862,6.9331656,-0.86946833,93.1454
1.3933266,6.8822117,-0.84907544,93.79294
1.3820078,6.8215404,-0.8248062,94.557846
1.3693458,6.75132,-0.7966728,95.41786
1.356592,6.6804347,-0.7683096,96.2778
1.3437182,6.6086802,-0.7396451,97.137665
1.3308251,6.537085,-0.71109366,97.980835
1.3179147,6.465636,-0.6826447,98.80885
1.3050132,6.3942175,-0.65422106,99.6308
1.2922335,6.3232884,-0.6261747,100.36772
1.2795807,6.2515955,-0.5977832,101.053314
1.2668196,6.1798754,-0.5693573,101.73518
1.2539078,6.10862,-0.5410589,102.421844
