ci,absmag,log_lum,dist
0.4684048,3.752613,0.4529132,100.13718
0.4683118,3.7526078,0.45293292,100.15015
0.46821892,3.752603,0.45295277,100.163086
0.46812582,3.7525983,0.45297256,100.17604
0.46803275,3.752593,0.45299247,100.18901
0.46793982,3.7525885,0.45301202,100.20195
0.46784675,3.752583,0.45303193,100.21492
0.46775368,3.752578,0.45305178,100.22792
0.46766064,3.752573,0.4530715,100.240875
0.4675675,3.7525682,0.45309123,100.25386
0.46747452,3.7525632,0.45311108,100.2668
0.46738145,3.7525578,0.4531311,100.27977
0.46728852,3.7525532,0.45315066,100.29274
0.46719542,3.7525482,0.4531704,100.30568
0.46710226,3.7525425,0.45319048,100.318695
0.4670094,3.7525384,0.45321003,100.331604
0.4669163,3.752533,0.4532298,100.344604
0.46682322,3.752528,0.4532496,100.35756
0.46673018,3.7525234,0.45326933,100.37053
0.46663707,3.7525184,0.45328924,100.3835
0.46654403,3.7525132,0.4533091,100.396454
0.46645108,3.7525082,0.45332876,100.409424
0.466358,3.752503,0.4533488,100.422424
0.46626502,3.7524984,0.45336846,100.43535
0.46617177,3.75249,0.4533892,100.44841
0.46607804,3.7524726,0.45341286,100.46178
0.4659844,3.7524557,0.45343658,100.47516
0.4658907,3.7524383,0.4534603,100.488495
0.465797,3.7524211,0.45348385,100.50183
0.4657034,3.7524037,0.45350763,100.51523
0.46560985,3.7523866,0.45353112,100.528595
0.4655161,3.7523694,0.45355484,100.541916
0.46542233,3.7523522,0.4535785,100.55527
0.46532875,3.7523346,0.45360222,100.56865
0.46523497,3.7523177,0.4536257,100.582
0.46514136,3.7523003,0.45364955,100.59538
0.4650478,3.7522833,0.45367298,100.6087
0.464954,3.7522655,0.45369694,100.622116
0.46486026,3.7522483,0.45372048,100.63545
0.46476677,3.752231,0.4537442,100.6488
0.46467286,3.752208,0.45376864,100.66278
0.4645792,3.752184,0.45379326,100.67688
0.46448532,3.7521603,0.4538177,100.69095
0.4643916,3.7521362,0.4538423,100.70506
0.46429792,3.7521124,0.4538667,100.71913
0.464204,3.7520883,0.45389125,100.73323
0.4641103,3.7520645,0.45391586,100.747284
0.4640166,3.7520406,0.4539403,100.76138
0.4639229,3.7520163,0.45396492,100.77547
0.46382773,3.7519841,0.45400122,100.79314
0.46373233,3.7519512,0.45403805,100.8109
0.4636373,3.7519183,0.45407483,100.82863
0.46354198,3.7518854,0.45411137,100.8463
0.4634469,3.751853,0.4541479,100.86403
0.4633517,3.7518203,0.45418456,100.881744
0.4632566,3.751788,0.4542211,100.89943
0.46316144,3.7517545,0.45425794,100.91716
0.46306622,3.7517219,0.45429447,100.93486
0.4629709,3.751689,0.45433125,100.95261
0.4628758,3.7516563,0.45436785,100.97031
0.46278068,3.7516239,0.45440438,100.98801
0.46268547,3.751591,0.45444104,101.00572
0.4625903,3.7515585,0.4544777,101.02339
0.4624945,3.7515259,0.45451447,101.0412
0.46239707,3.7514932,0.45455214,101.05914
0.4622995,3.7514608,0.4545897,101.0771
0.46220195,3.7514284,0.45462725,101.09508
0.46210456,3.7513962,0.4546645,101.112976
0.4620071,3.7513638,0.45470223,101.13097
0.46190953,3.7513309,0.45473996,101.148926
0.461812,3.7512982,0.45477763,101.166885
0.46171457,3.7512662,0.45481506,101.184845
0.46161708,3.7512338,0.45485255,101.202774
0.4615195,3.7512014,0.4548901,101.22073
0.46142206,3.751169,0.4549276,101.23869
0.46132466,3.7511365,0.45496508,101.25661
0.46122697,3.7511039,0.45500287,101.27461
0.4611294,3.7510712,0.45504054,101.2926
0.46103203,3.7510395,0.45507774,101.3105
0.46093455,3.751007,0.45511535,101.328445
0.46083698,3.7509744,0.45515302,101.34639
0.46073923,3.750943,0.45518962,101.36351
0.4606411,3.750911,0.45522568,101.37993
0.4605431,3.750879,0.45526156,101.39636
0.46044493,3.7508476,0.45529768,101.412796
0.46034682,3.7508159,0.45533368,101.42926
0.4602488,3.7507849,0.45536944,101.44565
0.46015078,3.7507524,0.45540562,101.46208
0.46005258,3.7507215,0.4554415,101.47853
0.45995447,3.7506895,0.45547768,101.49501
0.4598564,3.7506576,0.45551363,101.51143
0.45975837,3.7506263,0.4555495,101.52786
0.45966035,3.7505949,0.45558545,101.544266
0.45956206,3.7505627,0.45562157,101.56073
0.45946407,3.7505317,0.45565733,101.57715
0.45936593,3.7504992,0.4556937,101.59363
0.4592679,3.750468,0.45572945,101.610016
0.45916978,3.750436,0.45576552,101.62645
0.4590717,3.750405,0.45580134,101.64287
0.45897368,3.750373,0.45583758,101.65932
0.45887557,3.7503414,0.45587352,101.675735
0.45877755,3.75031,0.4559094,101.69217
0.45867932,3.7502778,0.45594546,101.70862
0.45858124,3.7502465,0.4559814,101.72504
0.4584833,3.750215,0.4560173,101.741455
0.45838508,3.7501829,0.45605347,101.757904
0.45828712,3.750151,0.45608947,101.77434
0.45818907,3.7501197,0.4561253,101.79079
0.45809075,3.7500882,0.4561614,101.807236
0.45799276,3.7500567,0.45619747,101.82367
0.45789462,3.7500248,0.4562334,101.8401
0.45779657,3.7499933,0.45626935,101.85652
0.4576985,3.7499619,0.45630524,101.87297
0.4576005,3.7499297,0.45634148,101.889404
0.4575024,3.7498984,0.45637736,101.90582
0.4574043,3.749867,0.4564133,101.92224
0.4573061,3.7498348,0.4564493,101.93869
0.4572081,3.7498035,0.45648524,101.95511
0.45711005,3.749772,0.45652124,101.97154
0.457012,3.7497401,0.45655718,101.987976
0.45691377,3.7497087,0.45659336,102.00441
0.45681575,3.7496765,0.4566293,102.020874
0.4567176,3.7496448,0.45666537,102.03728
0.45661956,3.7496138,0.4567012,102.05371
0.45652133,3.7495816,0.45673743,102.07019
0.4564233,3.74955,0.4567732,102.08659
0.45632526,3.749518,0.45680955,102.10307
0.45622736,3.7494872,0.4568452,102.119446
0.45612907,3.7494552,0.4568813,102.13591
0.45603108,3.7494233,0.45691738,102.15234
0.455933,3.7493918,0.45695344,102.16876
0.45583484,3.7493598,0.45698938,102.18524
0.4557368,3.749329,0.4570252,102.20163
0.45563865,3.749297,0.45706138,102.218094
0.45554075,3.7492652,0.45709714,102.2345
0.4554425,3.7492335,0.45713326,102.250916
0.45534444,3.7492018,0.4571692,102.267395
0.45524636,3.7491698,0.45720527,102.28383
0.45514828,3.7491386,0.45724115,102.30025
0.45505026,3.7491074,0.45727715,102.316696
0.4549521,3.749075,0.45731333,102.3331
0.4548541,3.7490442,0.45734903,102.34952
0.45475593,3.7490115,0.4573854,102.36598
0.45465788,3.7489805,0.45742103,102.382385
0.45455974,3.748949,0.45745704,102.3988
0.45446166,3.748917,0.45749316,102.41528
0.45436358,3.7488856,0.4575291,102.4317
0.45426548,3.7488542,0.45756504,102.44815
0.45416746,3.7488225,0.45760104,102.46457
0.45406932,3.7487905,0.45763704,102.481
0.45397127,3.7487593,0.4576731,102.49744
0.45387265,3.748726,0.45770988,102.51373
0.45377213,3.7486877,0.45774952,102.52956
0.4536717,3.7486494,0.45778915,102.54538
0.45357132,3.7486115,0.4578286,102.56119
0.45347095,3.7485735,0.4578682,102.57701
0.45337042,3.7485356,0.45790765,102.592804
0.4532701,3.7484975,0.45794716,102.60866
0.45316964,3.7484593,0.45798674,102.624435
0.45306927,3.7484217,0.45802626,102.64024
0.45296887,3.748384,0.45806584,102.65608
0.4528684,3.7483454,0.45810542,102.67189
0.452768,3.7483075,0.458145,102.68771
0.45266756,3.7482698,0.45818445,102.70352
0.4525673,3.7482312,0.45822397,102.7193
0.45246685,3.7481937,0.45826355,102.73514
0.45236632,3.7481558,0.458303,102.750946
0.45226595,3.748118,0.45834252,102.76677
0.45216563,3.74808,0.4583821,102.78258
0.45206505,3.7480412,0.45842186,102.79843
0.45196468,3.7480035,0.45846137,102.814255
0.45186424,3.7479653,0.45850083,102.83008
0.45176393,3.7479277,0.45854047,102.84584
0.45166355,3.7478898,0.45858,102.861664
0.45156303,3.7478516,0.4586195,102.8775
0.45146266,3.7478137,0.45865914,102.89331
0.45136213,3.747775,0.45869866,102.90915
0.45126176,3.7477374,0.45873812,102.9249
0.45116132,3.7476993,0.45877776,102.94075
0.45106095,3.747661,0.45881727,102.95656
0.45096043,3.747623,0.45885697,102.9724
0.450859,3.7475705,0.45890912,102.989456
0.45075685,3.747511,0.45896718,103.00705
0.4506545,3.747451,0.4590253,103.02467
0.45055252,3.7473917,0.45908317,103.04225
0.45045033,3.7473326,0.4591411,103.05989
0.45034823,3.7472727,0.45919916,103.077484
0.45024604,3.7472136,0.45925722,103.09509
0.45014405,3.7471547,0.45931485,103.112656
0.45004177,3.7470944,0.45937315,103.13028
0.44993973,3.7470353,0.45943102,103.14787
0.44983754,3.7469754,0.45948908,103.16551
