ci,absmag,log_lum,dist
0.48960313,5.1798725,-0.056428093,100.546524
0.48957312,5.179355,-0.05622949,100.55809
0.48954314,5.178839,-0.056031484,100.569565
0.48951313,5.1783214,-0.055833478,100.58099
0.489483,5.177803,-0.055634398,100.59259
0.48945317,5.1772885,-0.055436987,100.604065
0.48942322,5.176772,-0.05523898,100.61548
0.48939312,5.1762543,-0.05504026,100.62703
0.48936296,5.1757364,-0.054841895,100.638565
0.4893331,5.175221,-0.054644246,100.65004
0.48930293,5.174702,-0.054445166,100.661545
0.48927283,5.1741858,-0.05424692,100.673065
0.48924303,5.1736703,-0.054049153,100.684525
0.48921305,5.1731524,-0.05385055,100.696045
0.48918313,5.1726365,-0.0536529,100.707504
0.4891531,5.172119,-0.053454418,100.718994
0.489123,5.171602,-0.053255934,100.7305
0.48909304,5.171086,-0.053058047,100.74199
0.48906294,5.1705675,-0.052859206,100.7536
0.48903286,5.17005,-0.052660722,100.76506
0.48900288,5.1695337,-0.052462716,100.776505
0.48897287,5.1690164,-0.052264232,100.78801
0.48894307,5.1685014,-0.052066583,100.7995
0.48891303,5.1679845,-0.051868457,100.810974
0.48888278,5.1674647,-0.051669378,100.82254
0.48885292,5.1669493,-0.05147149,100.83403
0.4888229,5.1664324,-0.051273484,100.845505
0.48879296,5.165916,-0.051075,100.856995
0.48876274,5.165398,-0.050876398,100.86853
0.488733,5.1648827,-0.05067875,100.879974
0.48870274,5.1643634,-0.050479908,100.89154
0.48867285,5.1638484,-0.0502819,100.902985
0.48864287,5.1633315,-0.050083775,100.91452
0.4886129,5.1628156,-0.049886007,100.92595
0.48858273,5.1622972,-0.049687285,100.9375
0.48855278,5.16178,-0.0494888,100.94902
0.4885228,5.1612635,-0.049290556,100.96054
0.4884928,5.160747,-0.04909255,100.971985
0.4884627,5.160229,-0.048894186,100.983505
0.48843285,5.1597123,-0.04869606,100.995026
0.4884029,5.1591964,-0.048498172,101.00647
0.48837283,5.158681,-0.048300285,101.017914
0.48834264,5.1581616,-0.048100967,101.029526
0.48831272,5.1576447,-0.047902722,101.041016
0.4882827,5.157129,-0.047704954,101.052444
0.48825276,5.156612,-0.04750659,101.063965
0.48822275,5.156095,-0.047308225,101.075516
0.4881927,5.1555777,-0.04711022,101.087006
0.4881628,5.155061,-0.046911735,101.09845
0.48813257,5.1545434,-0.04671361,101.109985
0.48810267,5.1540275,-0.046515483,101.12143
0.48807248,5.153508,-0.046316523,101.13301
0.48804265,5.1529922,-0.046118636,101.14447
0.48801255,5.152476,-0.04592027,101.15599
0.48798266,5.1519594,-0.045722146,101.167435
0.48795274,5.151444,-0.045524377,101.178955
0.48792252,5.1509247,-0.045325536,101.190475
0.48789257,5.150408,-0.045127053,101.20203
0.48786262,5.149892,-0.044929046,101.21341
0.48783258,5.149375,-0.04473116,101.22493
0.48780265,5.1488585,-0.044533033,101.23645
0.4877725,5.14834,-0.044334073,101.248
0.4877425,5.1478243,-0.044136304,101.2594
0.4877125,5.147308,-0.04393818,101.270935
0.48768273,5.146791,-0.043740053,101.282425
0.48765263,5.1462746,-0.043541808,101.293915
0.48762256,5.1457567,-0.043342967,101.3055
0.48759252,5.14524,-0.04314508,101.316956
0.48756245,5.1447225,-0.042946596,101.328445
0.48753244,5.1442056,-0.04274823,101.339966
0.4875024,5.1436887,-0.042550106,101.35144
0.48747253,5.1431727,-0.0423521,101.362885
0.48744246,5.142655,-0.042153616,101.374435
0.48741257,5.1421385,-0.04195561,101.38594
0.48738232,5.14162,-0.04175641,101.397446
0.4873525,5.1411057,-0.041559357,101.40886
0.48732245,5.140588,-0.041360755,101.420456
0.4872924,5.14007,-0.041162033,101.43198
0.48726243,5.139553,-0.040963788,101.44348
0.4872325,5.139038,-0.040766377,101.454926
0.48720226,5.138519,-0.040567417,101.466415
0.48717237,5.138003,-0.04036917,101.47795
0.4871424,5.1374865,-0.040171165,101.489395
0.48711237,5.136968,-0.03997268,101.50093
0.48708233,5.1364517,-0.039774556,101.51239
0.48705226,5.1359334,-0.039575715,101.524
0.4870222,5.1354175,-0.039377827,101.53546
0.4869923,5.1349015,-0.039179582,101.546906
0.48696235,5.134384,-0.038981337,101.55846
0.4869324,5.1338677,-0.038783688,101.56987
0.48690227,5.1333504,-0.038585205,101.581375
0.48687232,5.1328335,-0.038386602,101.59291
0.4868423,5.1323175,-0.038188834,101.60437
0.48681235,5.131799,-0.037989993,101.61592
0.48678237,5.1312795,-0.037791867,101.62744
0.48675242,5.13076,-0.03759374,101.63898
0.48672262,5.130242,-0.037395496,101.65048
0.48669237,5.1297193,-0.03719594,101.66211
0.4866626,5.129201,-0.036997933,101.673645
0.48663273,5.128682,-0.036799926,101.685165
0.48660275,5.1281614,-0.036601324,101.696655
0.4865727,5.1276407,-0.03640272,101.70819
0.486543,5.1271234,-0.036204834,101.71974
0.48651293,5.1266026,-0.036005754,101.73132
0.48648304,5.126082,-0.03580715,101.742874
0.48645297,5.1255627,-0.035608906,101.754425
0.4864232,5.1250443,-0.03541102,101.765884
0.4863934,5.1245255,-0.035212893,101.777435
0.4863634,5.1240063,-0.035014648,101.788925
0.48633346,5.1234856,-0.034815807,101.80051
0.4863035,5.122965,-0.034617085,101.8121
0.4862735,5.1224456,-0.03441884,101.82359
0.48624364,5.121926,-0.034220476,101.83516
0.48621362,5.121405,-0.034021396,101.84674
0.48618367,5.1208863,-0.03382339,101.85823
0.48615366,5.120366,-0.033624787,101.86978
0.48612395,5.119848,-0.03342702,101.88127
0.48609412,5.1193285,-0.033228774,101.89279
0.48606402,5.1188073,-0.033029813,101.90437
0.4860341,5.1182885,-0.032831807,101.91586
0.48600402,5.117767,-0.03263225,101.927505
0.4859741,5.117248,-0.032434244,101.93901
0.4859443,5.1167293,-0.032236237,101.95053
0.48591423,5.116209,-0.032037396,101.9621
0.48588446,5.1156907,-0.03183939,101.9736
0.48585454,5.1151714,-0.031641144,101.98509
0.48582447,5.11465,-0.031442065,101.99672
0.48579463,5.114131,-0.031244056,102.00824
0.48576465,5.1136107,-0.031045454,102.019775
0.4857348,5.113092,-0.030847328,102.031265
0.48570475,5.1125712,-0.030648487,102.04289
0.48567492,5.1120524,-0.03045036,102.05435
