ci,absmag,log_lum,dist
0.81001014,0.3659185,1.7936664,379.08478
0.8100385,0.22444065,1.8502743,409.08575
0.846349,0.08600374,1.9056138,443.80603
0.8437378,0.31057975,1.815845,386.9332
0.79801434,0.30027768,1.8199629,389.62134
0.7753794,0.556874,1.717143,351.07892
0.78485733,0.27747557,1.8290678,396.42096
0.7687964,0.26760826,1.8330024,399.94894
0.77975637,0.40074822,1.7797065,374.24707
0.7617167,0.4659123,1.7535921,364.76028
0.7443043,0.43896207,1.7643901,368.96478
0.75541025,0.45825943,1.7566582,365.9696
0.7618431,0.28850982,1.8246464,394.7899
0.78675693,0.4299452,1.7680073,369.82605
0.81221026,0.32423076,1.8103718,385.25934
0.8342376,0.20679398,1.8573387,412.4063
0.7581834,0.32605693,1.8096349,385.59818
0.7801345,0.37918493,1.7883475,377.44946
0.7617601,0.45286533,1.7588204,366.7
0.8589095,0.2659212,1.8337239,395.3078
0.72858465,0.60728794,1.6969367,344.11053
0.7784717,0.48888347,1.7443886,361.1549
0.80640316,0.35389635,1.7984836,380.91336
0.7333353,0.44666097,1.7613039,367.94382
0.7921394,0.37926957,1.7883146,377.30127
0.8397409,0.29618582,1.8216126,389.1189
0.8162292,0.32261047,1.8110213,385.45486
0.8262735,0.43195483,1.7672057,369.08075
0.83978516,0.33407363,1.8064301,383.48407
0.72601897,0.59236366,1.702917,346.35892
0.8817509,0.2430981,1.8428562,400.08
0.8381923,0.25258276,1.8390433,400.02078
0.7681861,0.43792638,1.7648073,368.849
0.77003294,0.53641266,1.7253418,354.18216
0.7511298,0.31274077,1.8149579,388.95877
0.78735405,0.41086552,1.775653,372.65668
0.79781747,0.38112268,1.7875726,376.96152
0.70064086,0.47613892,1.7494884,363.9295
0.79212856,0.40208682,1.7791712,373.9082
0.7361746,0.42985055,1.7680404,370.41162
0.833422,0.47085473,1.7516183,363.21515
0.80695474,0.45164427,1.7593138,366.37097
0.81727964,0.3337848,1.8065437,383.78128
0.7996632,0.2754074,1.829902,396.13416
0.79068077,0.23917182,1.8443774,406.26617
0.83043635,0.30967972,1.8162044,387.21732
0.76457596,0.39702556,1.7811968,374.97217
0.8277345,0.30703065,1.8172656,387.64178
0.86768854,0.26265666,1.835033,395.6791
0.8428501,0.17252548,1.8710371,421.02213
