ci,absmag,log_lum,dist
0.522069,1.9979668,1.1404024,200.46687
0.51915807,2.0838249,1.1050189,194.93852
0.51908416,2.0842202,1.104915,194.90492
0.517646,2.203664,1.0581737,188.31609
0.5146809,2.4546127,0.959953,174.48047
0.5406507,1.78711,1.2265741,215.79222
0.5307628,1.8656328,1.1949774,210.12485
0.51604825,2.3508487,1.0005199,180.21977
0.52054816,2.0273147,1.127981,198.36278
0.51893544,2.1027539,1.097638,193.89227
0.5229669,1.981125,1.1474979,201.67952
0.54057825,1.7876757,1.2263461,215.75131
0.51637304,2.3081307,1.0172982,182.55145
0.5194841,2.0513554,1.117751,196.72067
0.518694,2.1156094,1.0926356,193.17183
0.5381832,1.8063662,1.218817,214.39964
0.5388694,1.8010117,1.220974,214.78688
0.5258145,1.9280897,1.1698644,205.52173
0.52174544,2.0039413,1.1378797,200.03082
0.52870744,1.8863546,1.1867338,208.65459
0.5211636,2.0147643,1.1333145,199.24583
0.5213181,2.0118585,1.1345383,199.45457
0.52342,1.972679,1.1510594,202.29094
0.5364388,1.8199794,1.2133331,213.41516
0.5417133,1.7788179,1.2299144,216.39189
0.56888825,1.5667462,1.3153442,231.72858
0.5191089,2.085548,1.1043822,194.837
0.53235024,1.8518864,1.2004799,211.1077
0.5315475,1.8583653,1.1978755,210.64093
0.5215189,2.0081387,1.1361082,199.72531
0.5179524,2.1865287,1.0648465,189.27438
0.52217007,1.9961468,1.1411738,200.6027
0.535253,1.8292338,1.2096051,212.74591
0.5171527,2.2495954,1.0401802,185.7902
0.523155,1.9776094,1.1489798,201.93343
0.5173271,2.237313,1.044978,186.47118
0.5321674,1.8533134,1.199905,211.00449
0.5257532,1.9294184,1.1693155,205.43735
0.5324668,1.8509765,1.2008464,211.1735
0.5323765,1.8516814,1.2005625,211.12253
0.5162309,2.330785,1.0083905,181.31885
0.5301574,1.871217,1.19275,209.72813
0.53502846,1.830986,1.2088993,212.61919
0.51921064,2.0808835,1.1061693,195.10252
0.52559686,1.9323258,1.1680892,205.22646
0.54259765,1.7719163,1.2326946,216.891
0.51891875,2.108019,1.0955596,193.60822
0.5188833,2.1037316,1.0972687,193.83307
0.523033,1.9798309,1.1480399,201.76932
0.53501123,1.8311201,1.2088453,212.60948
