ci,absmag,log_lum,dist
0.5752851,3.5437276,0.524352,126.84512
0.55678076,3.370456,0.59372336,132.54411
0.5957015,3.7376122,0.44630876,120.40443
0.5718417,3.5107892,0.5376471,127.94486
0.56151634,3.4144719,0.5761519,131.10411
0.54688907,3.208744,0.65874374,139.46355
0.5591898,3.3916662,0.5854404,131.87822
0.5410771,3.100211,0.7021419,144.28625
0.5483023,3.2351258,0.64814824,138.29124
0.5443216,3.1607847,0.67783725,141.5946
0.5478147,3.2260141,0.65174955,138.6961
0.54516584,3.1765676,0.6716302,140.89334
0.56286126,3.4268267,0.57124245,130.70338
0.55835277,3.3846276,0.5881346,132.09091
0.54151326,3.1083586,0.69889736,143.9242
0.5919142,3.6993828,0.46204266,121.72689
0.56681997,3.4631624,0.5568085,129.52553
0.5684589,3.4800537,0.54980683,128.93362
0.55294925,3.3218782,0.6133092,134.43633
0.5294311,2.882736,0.78911644,153.94981
0.5603092,3.403001,0.58077013,131.48532
0.57606184,3.5500407,0.5219734,126.66008
0.56215525,3.419777,0.5741328,130.94557
0.56943536,3.4877622,0.5469429,128.71385
0.5719737,3.5121937,0.53705865,127.89469
0.57075626,3.5014691,0.5412478,128.23152
0.5534372,3.3309972,0.60970414,134.03113
0.5744888,3.5373955,0.5267133,127.02696
0.54193133,3.1161354,0.695616,143.57857
0.5540866,3.3431182,0.60482556,133.49251
0.5535138,3.3324153,0.6090632,133.96808
0.57090694,3.5035493,0.54031116,128.14735
0.5456834,3.186223,0.66771764,140.46426
0.56438065,3.4405286,0.5658381,130.26508
0.5366988,3.0184455,0.7348057,147.91951
0.5741896,3.5331135,0.5286569,127.20262
0.5664939,3.460705,0.5577002,129.59235
0.5363285,3.0115385,0.73761284,148.22644
0.5756408,3.5458167,0.52370816,126.80564
0.546454,3.2005947,0.66185826,139.8256
0.57409245,3.5333416,0.5283893,127.168335
0.5565337,3.3669062,0.59533614,132.68997
0.58418787,3.6275244,0.49073616,124.078835
0.5803583,3.5912929,0.5052996,125.27928
0.5680746,3.4766877,0.55111825,129.03883
0.5482569,3.2342534,0.64834845,138.32996
0.565279,3.4490035,0.5624353,129.98486
0.5529776,3.3224134,0.6131259,134.41254
0.5340875,2.9696767,0.7542758,150.08655
0.54938453,3.2553566,0.6401764,137.39232
