ci,absmag,log_lum,dist
0.5602757,1.5823623,1.307055,229.05539
0.5583116,1.6050124,1.297995,227.475
0.5563475,1.6276625,1.2889348,225.89464
0.5543834,1.6503127,1.2798748,224.31425
0.5524193,1.6729628,1.2708148,222.73389
0.5504552,1.6956129,1.2617546,221.1535
0.5484911,1.718263,1.2526946,219.57314
0.546527,1.7409132,1.2436346,217.99277
0.5445629,1.7635634,1.2345744,216.41238
0.54259884,1.7862135,1.2255144,214.832
0.54063475,1.8088635,1.2164543,213.25163
0.53867066,1.8315136,1.2073942,211.67126
0.5367065,1.8541639,1.1983341,210.09088
0.5347425,1.8768139,1.1892741,208.51051
0.5327784,1.899464,1.180214,206.93013
0.53081423,1.9221143,1.1711539,205.34975
0.5288502,1.9447643,1.1620939,203.76938
0.5268861,1.9674144,1.1530339,202.18901
0.524922,1.9900645,1.1439737,200.60863
0.52295786,2.0127149,1.1349137,199.02826
0.5209938,2.0353649,1.1258535,197.44788
0.5190297,2.0580149,1.1167935,195.86751
0.51706564,2.080665,1.1077335,194.28712
0.5151015,2.103315,1.0986733,192.70676
0.51313746,2.1259654,1.0896133,191.12637
0.5111733,2.1486156,1.0805532,189.546
0.5092092,2.1712656,1.0714931,187.96562
0.50762606,2.1933799,1.0626475,186.48479
0.50829715,2.2123234,1.05507,185.59303
0.509087,2.2346196,1.0461516,184.54346
0.51002884,2.2612042,1.0355178,183.29199
0.5109706,2.2877889,1.0248839,182.04053
0.5119124,2.3143737,1.01425,180.78908
0.5128542,2.3409584,1.0036162,179.53761
0.51379603,2.367543,0.9929823,178.28615
0.51473784,2.3941276,0.9823485,177.0347
0.51567966,2.4207125,0.9717146,175.78322
0.5166214,2.447297,0.96108073,174.53177
0.5175632,2.473882,0.9504469,173.2803
0.51850504,2.5004666,0.93981296,172.02884
0.51944685,2.5270512,0.9291792,170.77737
0.52038866,2.553636,0.91854525,169.52591
0.5213304,2.5802207,0.9079114,168.27446
0.5222722,2.606805,0.89727765,167.02301
0.52321404,2.63339,0.88664377,165.77155
0.5241558,2.6599748,0.8760099,164.52007
0.5250976,2.6865594,0.86537606,163.26862
0.5260394,2.713144,0.85474217,162.01717
0.52698123,2.739729,0.8441083,160.76569
0.52792305,2.7663136,0.83347446,159.51424
0.5288648,2.7928982,0.8228406,158.26277
0.5298066,2.819483,0.8122067,157.0113
0.5307484,2.8460677,0.8015728,155.75984
0.53169024,2.8726525,0.790939,154.50838
0.53263205,2.8992372,0.7803052,153.25693
0.53357387,2.925822,0.7696712,152.00546
0.5345156,2.9524062,0.75903755,150.75401
0.53545743,2.9789913,0.7484036,149.50255
0.53639925,3.005576,0.7377697,148.25108
0.537341,3.0321605,0.7271359,146.99962
0.5382829,3.0587454,0.71650195,145.74815
0.5392246,3.0853305,0.70586807,144.49667
0.54016644,3.1119146,0.69523424,143.24522
0.54110825,3.1384995,0.6846004,141.99377
0.54205006,3.1650841,0.67396647,140.74231
0.5429919,3.191669,0.66333264,139.49084
0.54470676,3.2189283,0.6524289,138.33223
0.54771733,3.2473185,0.6410728,137.3292
0.5507279,3.2757092,0.62971675,136.32616
0.5537385,3.3040993,0.6183605,135.32312
0.5567491,3.3324897,0.60700434,134.32008
0.5597597,3.3608801,0.5956482,133.31705
0.56277025,3.3892705,0.58429205,132.31401
0.5657808,3.417661,0.5729358,131.31097
0.5687914,3.4460514,0.56157964,130.30795
0.57180196,3.4744418,0.55022365,129.3049
0.5748126,3.5028324,0.53886735,128.30186
0.57782316,3.5312226,0.52751124,127.29882
0.58083373,3.559613,0.5161551,126.29581
0.5838443,3.5880032,0.50479907,125.29276
0.5868549,3.6163933,0.49344292,124.289734
0.5898655,3.6447842,0.48208663,123.28669
0.592876,3.6731744,0.4707305,122.28366
0.5958866,3.7015646,0.45937446,121.280624
0.5988972,3.729955,0.44801822,120.277596
0.6019078,3.7583454,0.4366621,119.27455
0.60491836,3.7867358,0.42530593,118.271515
0.60792893,3.8151262,0.41394976,117.26848
0.6109395,3.8435163,0.40259376,116.26546
0.6139501,3.8719068,0.39123753,115.262405
0.61696064,3.900297,0.37988153,114.259384
0.6199712,3.9286873,0.36852524,113.25635
0.6235877,3.9627917,0.35488358,112.05142
0.6276532,4.001129,0.3395485,110.696945
0.6317185,4.0394664,0.3242136,109.342514
0.635784,4.0778046,0.3088785,107.98802
0.6398493,4.1161413,0.29354367,106.63356
0.6439147,4.154479,0.27820882,105.27908
0.6479801,4.1928163,0.2628738,103.92462
0.6520455,4.231154,0.24753873,102.570145
