ci,absmag,log_lum,dist
0.5991029,3.7318952,0.44724223,120.20903
0.59586823,3.7013915,0.45944372,121.28674
0.5926335,3.670887,0.4716455,122.364456
0.5893988,3.640383,0.483847,123.44218
0.5861641,3.6098795,0.49604848,124.519875
0.5829294,3.5793753,0.50825024,125.597595
0.5796947,3.5488713,0.52045184,126.67529
0.5764599,3.5183668,0.5326535,127.75302
0.5732252,3.4878628,0.5448552,128.83073
0.5699905,3.457359,0.5570566,129.90843
0.5667558,3.426855,0.5692583,130.98615
0.5635211,3.396351,0.5814599,132.06386
0.56028634,3.3658469,0.5936615,133.14157
0.55705166,3.335343,0.60586315,134.21928
0.55381685,3.304839,0.61806476,135.29701
0.5505822,3.274335,0.63026625,136.37471
0.5473475,3.243831,0.6424679,137.45242
0.54411274,3.2133267,0.6546696,138.53014
0.5427359,3.1844442,0.6662226,139.83095
0.541724,3.1558807,0.677648,141.17557
0.54071206,3.1273165,0.6890735,142.5202
0.53970015,3.0987525,0.70049906,143.86485
0.53868824,3.0701888,0.7119247,145.20947
0.53767633,3.0416248,0.7233502,146.5541
0.5366644,3.0130608,0.7347757,147.89873
0.53565246,2.9844968,0.74620134,149.24338
0.53464055,2.9559329,0.75762683,150.588
0.53362864,2.927369,0.7690524,151.93262
0.53261673,2.8988054,0.7804779,153.27725
0.5316048,2.8702414,0.79190344,154.62189
0.5305929,2.8416772,0.80332905,155.96652
0.52958095,2.8131132,0.81475466,157.31117
0.52856904,2.7845492,0.8261802,158.65579
0.52755713,2.7559855,0.83760566,160.00041
0.5265452,2.7274215,0.84903127,161.34506
0.5255333,2.6988573,0.8604569,162.6897
0.5245214,2.6702938,0.8718823,164.03432
0.5235095,2.6417298,0.8833078,165.37895
0.52249753,2.6131659,0.8947334,166.72359
0.5214856,2.5846019,0.906159,168.06822
0.5204737,2.5560381,0.9175844,169.41284
0.5194618,2.5274742,0.92901003,170.75748
0.5184499,2.4989102,0.94043565,172.10211
0.517438,2.4703462,0.95186114,173.44675
0.5164261,2.4417825,0.9632866,174.79137
0.5154141,2.4132185,0.9747122,176.136
0.5144022,2.3846545,0.98613775,177.48064
0.5133903,2.3560905,0.9975633,178.82527
0.5123784,2.3275266,1.0089889,180.1699
0.5113665,2.2989628,1.0204144,181.51453
0.5103546,2.2703989,1.03184,182.85916
0.5093426,2.2418349,1.0432655,184.20378
0.5084193,2.2157702,1.0536914,185.43077
0.50769645,2.1953676,1.0618523,186.39122
0.50915444,2.1718976,1.0712404,187.92152
0.5112698,2.1475031,1.0809982,189.62361
0.5133852,2.1231084,1.0907562,191.32571
0.51550055,2.0987136,1.1005139,193.02782
0.5176159,2.0743191,1.1102718,194.7299
0.5197313,2.0499244,1.1200297,196.432
0.5218466,2.0255299,1.1297876,198.1341
0.52396196,2.0011353,1.1395454,199.83618
0.52607733,1.9767407,1.1493033,201.53828
0.5281927,1.9523461,1.1590612,203.24037
0.53030807,1.9279516,1.1688191,204.94246
0.53242344,1.9035567,1.178577,206.64458
0.5345388,1.8791623,1.1883347,208.34665
0.5366542,1.8547677,1.1980926,210.04875
0.53876954,1.830373,1.2078505,211.75084
0.5408849,1.8059784,1.2176083,213.45294
0.5430003,1.7815838,1.2273662,215.15503
0.54511565,1.7571892,1.2371241,216.85713
0.547231,1.7327945,1.246882,218.55922
0.5493464,1.7084,1.2566398,220.2613
0.5514617,1.6840054,1.2663977,221.96341
0.55357707,1.6596107,1.2761556,223.6655
0.5556925,1.6352161,1.2859135,225.3676
0.5578078,1.6108216,1.2956712,227.06969
0.5599232,1.586427,1.3054291,228.77179
0.56203854,1.5620323,1.315187,230.47388
0.5641539,1.5376378,1.3249449,232.17596
0.5662693,1.5132432,1.3347027,233.87807
0.56838465,1.4888484,1.3444606,235.58015
0.57050294,1.4645361,1.3541856,237.27838
0.57549983,1.4508344,1.3596663,238.82097
0.5840805,1.4210134,1.3715948,241.69318
0.59266126,1.3911921,1.3835233,244.5654
0.60124195,1.3613709,1.3954518,247.43762
0.6084546,1.3363044,1.4054785,249.8519
0.6084546,1.3363044,1.4054785,249.8519
0.61444247,1.3154942,1.4138025,251.85623
0.62086606,1.2931699,1.4227324,254.00641
0.6272897,1.2708452,1.4316622,256.1566
0.63371336,1.2485207,1.440592,258.30676
0.640137,1.2261963,1.4495219,260.45697
0.6465606,1.2038717,1.4584516,262.60715
0.65298426,1.1815472,1.4673816,264.75732
0.6594079,1.1592226,1.4763113,266.9075
0.6658315,1.1368982,1.4852412,269.05768
0.67225516,1.1145737,1.494171,271.2079
